age,fnlwgt,education_num,hours_per_week,income,net_capital,workclass_encoded,education_encoded,marital_status_encoded,occupation_encoded,relationship_encoded,race_encoded,sex_encoded,native_country_encoded
0.30136986301369856,0.04333771149798496,0.8,0.39795918367346933,0,0.06257486464472234,1,2,2,2,1,4,1,1
0.4520547945205479,0.047277379845214206,0.8,0.12244897959183672,0,0.04174213022854679,0,2,1,0,0,4,1,1
0.2876712328767123,0.13724390456144933,0.5333333333333333,0.39795918367346933,0,0.04174213022854679,0,1,0,1,1,4,1,1
0.4931506849315069,0.15021183790457235,0.4,0.39795918367346933,0,0.04174213022854679,0,1,1,1,0,2,1,1
0.1506849315068493,0.22070300815263208,0.8,0.39795918367346933,0,0.04174213022854679,0,2,1,0,5,2,0,0
0.27397260273972607,0.18410930183230273,0.8666666666666667,0.39795918367346933,0,0.04174213022854679,0,2,1,0,5,4,0,1
0.4383561643835617,0.09954070061511854,0.26666666666666666,0.1530612244897959,0,0.04174213022854679,0,1,1,2,1,2,0,0
0.4794520547945205,0.1331621498148118,0.5333333333333333,0.44897959183673464,1,0.04174213022854679,0,1,1,0,0,4,1,1
0.1917808219178082,0.02176301348257164,0.8666666666666667,0.5,1,0.17670451823103828,0,2,2,0,1,4,0,1
0.3424657534246575,0.09903897926218408,0.8,0.39795918367346933,1,0.09136121891619951,0,2,1,0,0,4,1,1
0.27397260273972607,0.1813097238764977,0.6,0.8061224489795917,1,0.04174213022854679,0,2,1,0,0,2,1,1
0.1780821917808219,0.08669853752984495,0.8,0.39795918367346933,1,0.04174213022854679,1,2,1,0,0,1,1,0
0.0821917808219178,0.07376459614830286,0.8,0.2959183673469387,0,0.04174213022854679,0,2,2,2,3,4,0,1
0.2054794520547945,0.13001925304703946,0.7333333333333334,0.5,0,0.04174213022854679,0,2,2,2,1,2,1,1
0.2328767123287671,0.1575309870721772,0.2,0.44897959183673464,0,0.04174213022854679,0,0,1,1,0,0,1,0
0.1095890410958904,0.11080495684380558,0.5333333333333333,0.346938775510204,0,0.04174213022854679,0,1,2,1,3,4,1,1
0.2054794520547945,0.1176495782277407,0.5333333333333333,0.39795918367346933,0,0.04174213022854679,0,1,2,1,4,4,1,1
0.2876712328767123,0.010277809503608586,0.4,0.5,0,0.04174213022854679,0,1,1,2,0,4,1,1
0.35616438356164376,0.18927132111798203,0.8666666666666667,0.44897959183673464,1,0.04174213022854679,0,2,0,0,4,4,0,1
0.3150684931506849,0.12220450107958471,1.0,0.6020408163265305,1,0.04174213022854679,0,2,1,0,0,4,1,1
0.5068493150684932,0.19604999809645018,0.5333333333333333,0.19387755102040813,0,0.04174213022854679,0,1,3,2,4,2,0,1
0.2465753424657534,0.042881539373568936,0.26666666666666666,0.39795918367346933,0,0.04174213022854679,1,1,1,1,0,2,1,1
0.35616438356164376,0.07020563777077997,0.4,0.39795918367346933,0,0.022174308849599925,0,1,1,1,0,4,1,1
0.5753424657534245,0.06475196745473631,0.5333333333333333,0.39795918367346933,0,0.04174213022854679,0,1,0,2,4,4,0,1
0.5342465753424657,0.13806311083554962,0.8,0.39795918367346933,1,0.04174213022854679,1,2,1,2,0,4,1,1
0.0273972602739726,0.10505215726584978,0.5333333333333333,0.39795918367346933,0,0.04174213022854679,0,1,2,1,3,4,1,1
0.30136986301369856,0.24031704982405763,0.5333333333333333,0.8061224489795917,0,0.04174213022854679,0,1,0,0,1,4,1,1
